protocol,train_mode,test_mode,outer_fold,metrics_path,accuracy,precision,recall,specificity,f1,roc_auc,n_rows,threshold,tn,fp,fn,tp
patient,balanced_50_50,unbalanced_20_80,outer_fold_019,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_019/unbalanced_20_80/metrics.json,0.879020979020979,0.950199203187251,0.416958041958042,0.9945367132867133,0.5795868772782503,0.838602834146841,11440,0.8609814047813416,9102,50,1334,954
patient,balanced_50_50,balanced_50_50,outer_fold_020,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_020/balanced_50_50/metrics.json,0.5038461538461538,1.0,0.007692307692307693,1.0,0.015267175572519085,0.9175234220907297,3120,0.9697695970535278,1560,0,1548,12
patient,balanced_50_50,unbalanced_20_80,outer_fold_020,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_020/unbalanced_20_80/metrics.json,0.8012820512820513,0.8571428571428571,0.007692307692307693,0.9996794871794872,0.015247776365946633,0.9175161283694937,7800,0.9697695970535278,6238,2,1548,12
patient,balanced_50_50,balanced_50_50,outer_fold_021,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_021/balanced_50_50/metrics.json,0.7916666666666666,0.7058823529411765,1.0,0.5833333333333334,0.8275862068965517,0.986330397143635,3216,0.12428086996078491,938,670,0,1608
patient,balanced_50_50,unbalanced_20_80,outer_fold_021,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_021/unbalanced_20_80/metrics.json,0.6667910447761194,0.37508747375787266,1.0,0.5834888059701493,0.5455470737913486,0.9875649929766589,8040,0.12428086996078491,3753,2679,0,1608
patient,balanced_50_50,balanced_50_50,outer_fold_022,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_022/balanced_50_50/metrics.json,0.7628896882494005,0.7508581235697941,0.7868705035971223,0.7389088729016786,0.7684426229508198,0.8043504045684315,6672,0.2511933147907257,2465,871,711,2625
patient,balanced_50_50,unbalanced_20_80,outer_fold_022,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_022/unbalanced_20_80/metrics.json,0.7484412470023981,0.42962356792144024,0.7868705035971223,0.738833932853717,0.5557908109252593,0.8009492698107701,16680,0.2511933147907257,9859,3485,711,2625
patient,balanced_50_50,balanced_50_50,outer_fold_023,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_023/balanced_50_50/metrics.json,0.6695707070707071,0.9189020586400499,0.37196969696969695,0.9671717171717171,0.5295703756965665,0.810830081114172,7920,0.9889422655105591,3830,130,2487,1473
patient,balanced_50_50,unbalanced_20_80,outer_fold_023,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_023/unbalanced_20_80/metrics.json,0.8455555555555555,0.7206457925636007,0.37196969696969695,0.9639520202020202,0.4906728847435043,0.8111671640648914,19800,0.9889422655105591,15269,571,2487,1473
patient,unbalanced_20_80,balanced_50_50,outer_fold_000,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_000/balanced_50_50/metrics.json,0.8798850574712643,0.8137161841480778,0.9853448275862069,0.7744252873563219,0.8913439043410449,0.9838189077156824,6960,0.45317938923835754,2695,785,51,3429
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_000,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_000/unbalanced_20_80/metrics.json,0.8185057471264368,0.5246328029375765,0.9853448275862069,0.7767959770114943,0.6847044728434505,0.9837325872803542,17400,0.45317938923835754,10813,3107,51,3429
patient,unbalanced_20_80,balanced_50_50,outer_fold_001,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_001/balanced_50_50/metrics.json,0.8598372781065089,0.7863449087698646,0.9881656804733728,0.731508875739645,0.8757784333005572,0.9685656358320788,2704,0.05561351403594017,989,363,16,1336
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_001,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_001/unbalanced_20_80/metrics.json,0.7974852071005917,0.4968389735961324,0.9881656804733728,0.7498150887573964,0.6612224696857214,0.9739692292374217,6760,0.05561351403594017,4055,1353,16,1336
patient,unbalanced_20_80,balanced_50_50,outer_fold_002,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_002/balanced_50_50/metrics.json,0.7569620253164557,0.9720930232558139,0.529113924050633,0.9848101265822785,0.6852459016393442,0.9564271551033489,6320,0.6736990809440613,3112,48,1488,1672
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_002,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_002/unbalanced_20_80/metrics.json,0.8925316455696203,0.8884165781083954,0.529113924050633,0.9833860759493671,0.6632288774295915,0.9549704324226888,15800,0.6736990809440613,12430,210,1488,1672
patient,unbalanced_20_80,balanced_50_50,outer_fold_003,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_003/balanced_50_50/metrics.json,0.9099264705882353,0.896797153024911,0.9264705882352942,0.8933823529411765,0.9113924050632911,0.9666184245331578,5984,0.07661654055118561,2673,319,220,2772
patient,unbalanced_20_80,unbalanced_20_80,outer_fold_003,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_003/unbalanced_20_80/metrics.json,0.9028074866310161,0.6919620569146281,0.9264705882352942,0.8968917112299465,0.7922263503858245,0.9663783123087591,14960,0.07661654055118561,10734,1234,220,2772
patient,unbalanced_20_80,balanced_50_50,outer_fold_004,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/unbalanced_20_80/outer_fold_004/balanced_50_50/metrics.json,0.8768083182640145,0.845707175445873,0.9217902350813744,0.8318264014466547,0.882111183214363,0.952702452756459,8848,0.8737754821777344,3680,744,346,4078
